150531 230519.029|CONFIG|Thread-5|setFileHandlers|Now logging to C:\Users\SONY_VAIO\Desktop\pc2-9.2.3_102\pc2-9.2.3_102\pc2-9.2.3\bin\logs directory.
150531 231041.936|INFO|Thread-14|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #10621 SERVER0 @ site 1 -> TEAM26 @ site 1
150531 231041.937|INFO|Thread-14|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #10621 ) recieveObject
150531 231041.937|INFO|Thread-14|dumpPacket|  From: SERVER0 @ site 1 (sna405-PC @ 140.123.104.102) (Contest Id: Default-4012406657417321273)
150531 231041.938|INFO|Thread-14|dumpPacket|    To: TEAM26 @ site 1
150531 231041.938|INFO|Thread-14|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 542 QUEUED_FOR_COMPUTER_JUDGEMENT558131463 ms from TEAM26 @ site 1 id Run--3059861069119869942
150531 231041.939|INFO|Thread-14|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #10621 SERVER0 @ site 1 -> TEAM26 @ site 1
150531 231041.939|INFO|Thread-14|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #10621 ) handlePacket
150531 231041.939|INFO|Thread-14|dumpPacket|  From: SERVER0 @ site 1 (sna405-PC @ 140.123.104.102) (Contest Id: Default-4012406657417321273)
150531 231041.940|INFO|Thread-14|dumpPacket|    To: TEAM26 @ site 1
150531 231041.940|INFO|Thread-14|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 542 QUEUED_FOR_COMPUTER_JUDGEMENT558131463 ms from TEAM26 @ site 1 id Run--3059861069119869942
150531 231043.067|INFO|Thread-15|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #10633 SERVER0 @ site 1 -> TEAM26 @ site 1
150531 231043.068|INFO|Thread-15|dumpPacket|Packet RUN_JUDGEMENT (Seq #10633 ) recieveObject
150531 231043.068|INFO|Thread-15|dumpPacket|  From: SERVER0 @ site 1 (sna405-PC @ 140.123.104.102) (Contest Id: Default-4012406657417321273)
150531 231043.068|INFO|Thread-15|dumpPacket|    To: TEAM26 @ site 1
150531 231043.069|INFO|Thread-15|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
150531 231043.069|INFO|Thread-15|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE2 @ site 1 judgement No - Wrong Answer--650080255801470458 id JudgementRecord--444700690218804056
150531 231043.070|INFO|Thread-15|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 542 JUDGED558131463 ms from TEAM26 @ site 1 id Run--3059861069119869942
150531 231043.070|INFO|Thread-15|info|handlePacket start Packet[RUN_JUDGEMENT] #10633 SERVER0 @ site 1 -> TEAM26 @ site 1
150531 231043.071|INFO|Thread-15|dumpPacket|Packet RUN_JUDGEMENT (Seq #10633 ) handlePacket
150531 231043.071|INFO|Thread-15|dumpPacket|  From: SERVER0 @ site 1 (sna405-PC @ 140.123.104.102) (Contest Id: Default-4012406657417321273)
150531 231043.071|INFO|Thread-15|dumpPacket|    To: TEAM26 @ site 1
150531 231043.072|INFO|Thread-15|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
150531 231043.072|INFO|Thread-15|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE2 @ site 1 judgement No - Wrong Answer--650080255801470458 id JudgementRecord--444700690218804056
150531 231043.073|INFO|Thread-15|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 542 JUDGED558131463 ms from TEAM26 @ site 1 id Run--3059861069119869942
150531 231044.055|INFO|Thread-15|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #10633 SERVER0 @ site 1 -> TEAM26 @ site 1
150531 231044.479|INFO|Thread-14|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #10621 SERVER0 @ site 1 -> TEAM26 @ site 1
150531 231408.655|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for p3w2d GNU C file: C:\Users\SONY_VAIO\Desktop\p3w2d shadow version\main.c
150531 231408.658|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #5 TEAM26 @ site 1 -> SERVER0 @ site 1
150531 231408.659|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #5 TEAM26 @ site 1 -> SERVER0 @ site 1
150531 231408.745|INFO|Thread-17|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #10664 SERVER0 @ site 1 -> TEAM26 @ site 1
150531 231408.746|INFO|Thread-17|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #10664 ) recieveObject
150531 231408.747|INFO|Thread-17|dumpPacket|  From: SERVER0 @ site 1 (sna405-PC @ 140.123.104.102) (Contest Id: Default-4012406657417321273)
150531 231408.749|INFO|Thread-17|dumpPacket|    To: TEAM26 @ site 1
150531 231408.750|INFO|Thread-17|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 545 QUEUED_FOR_COMPUTER_JUDGEMENT558338267 ms from TEAM26 @ site 1 id Run--3517608272492011329
150531 231408.752|INFO|Thread-17|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #10664 SERVER0 @ site 1 -> TEAM26 @ site 1
150531 231408.753|INFO|Thread-17|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #10664 ) handlePacket
150531 231408.754|INFO|Thread-17|dumpPacket|  From: SERVER0 @ site 1 (sna405-PC @ 140.123.104.102) (Contest Id: Default-4012406657417321273)
150531 231408.755|INFO|Thread-17|dumpPacket|    To: TEAM26 @ site 1
150531 231408.755|INFO|Thread-17|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 545 QUEUED_FOR_COMPUTER_JUDGEMENT558338267 ms from TEAM26 @ site 1 id Run--3517608272492011329
150531 231410.637|INFO|Thread-18|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #10673 SERVER0 @ site 1 -> TEAM26 @ site 1
150531 231410.638|INFO|Thread-18|dumpPacket|Packet RUN_JUDGEMENT (Seq #10673 ) recieveObject
150531 231410.638|INFO|Thread-18|dumpPacket|  From: SERVER0 @ site 1 (sna405-PC @ 140.123.104.102) (Contest Id: Default-4012406657417321273)
150531 231410.639|INFO|Thread-18|dumpPacket|    To: TEAM26 @ site 1
150531 231410.640|INFO|Thread-18|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
150531 231410.640|INFO|Thread-18|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE6 @ site 1 judgement No - Wrong Answer--650080255801470458 id JudgementRecord-2425122431125104567
150531 231410.640|INFO|Thread-18|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 545 JUDGED558338267 ms from TEAM26 @ site 1 id Run--3517608272492011329
150531 231410.641|INFO|Thread-18|info|handlePacket start Packet[RUN_JUDGEMENT] #10673 SERVER0 @ site 1 -> TEAM26 @ site 1
150531 231410.641|INFO|Thread-18|dumpPacket|Packet RUN_JUDGEMENT (Seq #10673 ) handlePacket
150531 231410.642|INFO|Thread-18|dumpPacket|  From: SERVER0 @ site 1 (sna405-PC @ 140.123.104.102) (Contest Id: Default-4012406657417321273)
150531 231410.642|INFO|Thread-18|dumpPacket|    To: TEAM26 @ site 1
150531 231410.642|INFO|Thread-18|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
150531 231410.643|INFO|Thread-18|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE6 @ site 1 judgement No - Wrong Answer--650080255801470458 id JudgementRecord-2425122431125104567
150531 231410.643|INFO|Thread-18|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 545 JUDGED558338267 ms from TEAM26 @ site 1 id Run--3517608272492011329
150531 231411.933|INFO|Thread-18|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #10673 SERVER0 @ site 1 -> TEAM26 @ site 1
150531 231412.312|INFO|Thread-17|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #10664 SERVER0 @ site 1 -> TEAM26 @ site 1
150531 231636.096|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for p3w2d GNU C file: C:\Users\SONY_VAIO\Desktop\p3w2d shadow version\main.c
150531 231636.098|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #6 TEAM26 @ site 1 -> SERVER0 @ site 1
150531 231636.099|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #6 TEAM26 @ site 1 -> SERVER0 @ site 1
150531 231636.171|INFO|Thread-20|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #10704 SERVER0 @ site 1 -> TEAM26 @ site 1
150531 231636.171|INFO|Thread-20|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #10704 ) recieveObject
150531 231636.171|INFO|Thread-20|dumpPacket|  From: SERVER0 @ site 1 (sna405-PC @ 140.123.104.102) (Contest Id: Default-4012406657417321273)
150531 231636.172|INFO|Thread-20|dumpPacket|    To: TEAM26 @ site 1
150531 231636.172|INFO|Thread-20|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 548 QUEUED_FOR_COMPUTER_JUDGEMENT558485713 ms from TEAM26 @ site 1 id Run--674330069742553983
150531 231636.173|INFO|Thread-20|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #10704 SERVER0 @ site 1 -> TEAM26 @ site 1
150531 231636.173|INFO|Thread-20|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #10704 ) handlePacket
150531 231636.174|INFO|Thread-20|dumpPacket|  From: SERVER0 @ site 1 (sna405-PC @ 140.123.104.102) (Contest Id: Default-4012406657417321273)
150531 231636.175|INFO|Thread-20|dumpPacket|    To: TEAM26 @ site 1
150531 231636.175|INFO|Thread-20|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 548 QUEUED_FOR_COMPUTER_JUDGEMENT558485713 ms from TEAM26 @ site 1 id Run--674330069742553983
150531 231637.207|INFO|Thread-21|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #10713 SERVER0 @ site 1 -> TEAM26 @ site 1
150531 231637.208|INFO|Thread-21|dumpPacket|Packet RUN_JUDGEMENT (Seq #10713 ) recieveObject
150531 231637.208|INFO|Thread-21|dumpPacket|  From: SERVER0 @ site 1 (sna405-PC @ 140.123.104.102) (Contest Id: Default-4012406657417321273)
150531 231637.209|INFO|Thread-21|dumpPacket|    To: TEAM26 @ site 1
150531 231637.209|INFO|Thread-21|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
150531 231637.210|INFO|Thread-21|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE2 @ site 1 judgement No - Wrong Answer--650080255801470458 id JudgementRecord-5321716701381302989
150531 231637.210|INFO|Thread-21|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 548 JUDGED558485713 ms from TEAM26 @ site 1 id Run--674330069742553983
150531 231637.211|INFO|Thread-21|info|handlePacket start Packet[RUN_JUDGEMENT] #10713 SERVER0 @ site 1 -> TEAM26 @ site 1
150531 231637.211|INFO|Thread-21|dumpPacket|Packet RUN_JUDGEMENT (Seq #10713 ) handlePacket
150531 231637.211|INFO|Thread-21|dumpPacket|  From: SERVER0 @ site 1 (sna405-PC @ 140.123.104.102) (Contest Id: Default-4012406657417321273)
150531 231637.212|INFO|Thread-21|dumpPacket|    To: TEAM26 @ site 1
150531 231637.212|INFO|Thread-21|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
150531 231637.213|INFO|Thread-21|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE2 @ site 1 judgement No - Wrong Answer--650080255801470458 id JudgementRecord-5321716701381302989
150531 231637.213|INFO|Thread-21|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 548 JUDGED558485713 ms from TEAM26 @ site 1 id Run--674330069742553983
150531 231638.032|INFO|Thread-21|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #10713 SERVER0 @ site 1 -> TEAM26 @ site 1
150531 231638.469|INFO|Thread-20|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #10704 SERVER0 @ site 1 -> TEAM26 @ site 1
150531 231743.830|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for p3w2d GNU C file: C:\Users\SONY_VAIO\Desktop\p3w2d shadow version\main.c
150531 231743.832|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #7 TEAM26 @ site 1 -> SERVER0 @ site 1
150531 231743.832|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #7 TEAM26 @ site 1 -> SERVER0 @ site 1
150531 231743.931|INFO|Thread-23|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #10717 SERVER0 @ site 1 -> TEAM26 @ site 1
150531 231743.932|INFO|Thread-23|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #10717 ) recieveObject
150531 231743.932|INFO|Thread-23|dumpPacket|  From: SERVER0 @ site 1 (sna405-PC @ 140.123.104.102) (Contest Id: Default-4012406657417321273)
150531 231743.933|INFO|Thread-23|dumpPacket|    To: TEAM26 @ site 1
150531 231743.933|INFO|Thread-23|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 549 QUEUED_FOR_COMPUTER_JUDGEMENT558553453 ms from TEAM26 @ site 1 id Run-4222341930325108946
150531 231743.933|INFO|Thread-23|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #10717 SERVER0 @ site 1 -> TEAM26 @ site 1
150531 231743.934|INFO|Thread-23|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #10717 ) handlePacket
150531 231743.934|INFO|Thread-23|dumpPacket|  From: SERVER0 @ site 1 (sna405-PC @ 140.123.104.102) (Contest Id: Default-4012406657417321273)
150531 231743.935|INFO|Thread-23|dumpPacket|    To: TEAM26 @ site 1
150531 231743.936|INFO|Thread-23|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 549 QUEUED_FOR_COMPUTER_JUDGEMENT558553453 ms from TEAM26 @ site 1 id Run-4222341930325108946
150531 231744.965|INFO|Thread-24|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #10728 SERVER0 @ site 1 -> TEAM26 @ site 1
150531 231744.966|INFO|Thread-24|dumpPacket|Packet RUN_JUDGEMENT (Seq #10728 ) recieveObject
150531 231744.966|INFO|Thread-24|dumpPacket|  From: SERVER0 @ site 1 (sna405-PC @ 140.123.104.102) (Contest Id: Default-4012406657417321273)
150531 231744.967|INFO|Thread-24|dumpPacket|    To: TEAM26 @ site 1
150531 231744.967|INFO|Thread-24|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
150531 231744.968|INFO|Thread-24|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE2 @ site 1 judgement No - Wrong Answer--650080255801470458 id JudgementRecord-2419953105027929938
150531 231744.968|INFO|Thread-24|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 549 JUDGED558553453 ms from TEAM26 @ site 1 id Run-4222341930325108946
150531 231744.968|INFO|Thread-24|info|handlePacket start Packet[RUN_JUDGEMENT] #10728 SERVER0 @ site 1 -> TEAM26 @ site 1
150531 231744.969|INFO|Thread-24|dumpPacket|Packet RUN_JUDGEMENT (Seq #10728 ) handlePacket
150531 231744.969|INFO|Thread-24|dumpPacket|  From: SERVER0 @ site 1 (sna405-PC @ 140.123.104.102) (Contest Id: Default-4012406657417321273)
150531 231744.969|INFO|Thread-24|dumpPacket|    To: TEAM26 @ site 1
150531 231744.970|INFO|Thread-24|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
150531 231744.970|INFO|Thread-24|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE2 @ site 1 judgement No - Wrong Answer--650080255801470458 id JudgementRecord-2419953105027929938
150531 231744.970|INFO|Thread-24|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 549 JUDGED558553453 ms from TEAM26 @ site 1 id Run-4222341930325108946
